country,export,import,chname
Afghanistan,5.41206,0.03428,阿富汗
Pakistan,182.50789,18.33219,巴基斯坦
East Timor,1.32597,0.01573,东帝汶
Philippines,320.65932,192.39177,菲律宾
Kazakhstan,115.64443,63.78691,哈萨克斯坦
Kyrgyzstan,53.36808,0.87055,吉尔吉斯斯坦
Cambodia,47.83198,10.07582,柬埔寨
Laos,14.19351,16.04997,老挝
Maldives,2.95626,0.00621,马尔代夫
Malaysia,417.12283,544.26139,马来西亚
Mongolia,12.35612,51.67313,蒙古国
Bangladesh,151.69021,8.75145,孟加拉
Myanmar,89.48464,45.26348,缅甸
Nepal,9.66955,0.17854,尼泊尔
Sri Lanka,40.87996,3.1003,斯里兰卡
Tajikistan,13.01375,0.46737,塔吉克斯坦
Thailand,385.41727,415.96083,泰国
Turkmenistan,3.68117,65.75126,土库曼斯坦
Brunei,6.37593,3.5181,文莱
Uzbekistan,27.49423,14.71449,乌兹别克斯坦
Singapore,450.193,342.49624,新加坡
India,680.42253,163.45371,印度
Indonesia,347.57385,285.74306,印度尼西亚
Vietnam,716.17248,503.74617,越南
United Arab Emirates,287.23965,123.11158,阿联酋
Oman,23.16453,133.83278,阿曼
Palestine State of,0.69058,0.00118,巴勒斯坦
Bahrain,9.02519,1.23946,巴林
Qatar,16.8233,64.00274,卡塔尔
Kuwait,31.12774,89.3495,科威特
Lebanon,20.10611,0.2304,黎巴嫩
Saudi Arabia,183.75008,317.61873,沙特阿拉伯
Turkey,181.21508,37.8343,土耳其
Syrian Arab Republic,11.02814,0.01334,叙利亚
Armenia,1.43852,3.02677,亚美尼亚
Yemen,16.43038,6.59962,也门
Iraq,83.30415,138.14112,伊拉克
Iran,185.84815,185.53693,伊朗
Israel,89.18467,42.06236,以色列
Jordan,28.03609,2.79185,约旦
South Korea,1027.03777,1775.53154,韩国
Georgia,9.12619,0.67591,格鲁尼亚
Azerbaijan,3.86971,5.77454,阿塞拜疆
Bhutan,0.06238,0.00177,不丹
Albania,4.54034,1.96222,阿尔巴尼亚
Estonia,10.06352,2.60339,爱沙尼亚
Bulgaria,11.69047,9.69183,保加利亚
Bosnia and Herzegovina,0.78817,0.57254,波黑
Poland,178.7305,33.53508,波兰
Russia,428.306,413.90293,俄罗斯
Moldova,0.97916,0.33964,摩尔多瓦
Montenegro,1.32456,0.66401,黑山
Czech Republic,87.9297,36.95706,捷克
Croatia,11.59641,1.83084,克罗地亚
Latvia,11.48242,1.7724,拉脱维亚
Lithuania,16.00274,2.55151,立陶宛
Romania,37.7796,18.24318,罗马尼亚
Macedonia,0.78041,0.86689,马其顿
Republic of Serbia,5.45639,2.11585,塞尔维亚
Slovakia,27.29479,25.84963,斯洛伐克
Slovenia,28.8693,4.95352,斯洛文尼亚
Ukraine,50.40645,23.39642,乌克兰
Hungary,60.49345,40.77224,匈牙利
Belarus,9.33362,5.15384,白俄罗斯
South Africa,148.08767,243.88596,南非
Morocco,31.76226,6.50597,摩洛哥
Ethiopia,26.64555,3.57583,埃塞俄比亚
Madagascar,10.07487,2.27093,马达加斯加
Egypt,94.85643,13.41934,埃及
New Zealand,51.00103,93.91098,新西兰
Panama,66.26969,0.62027,巴拿马
China,,,中国
