Country,Year,Total,Name
South Korea,2013,2742.4,韩国
South Korea,2014,2904.4,韩国
South Korea,2015,2757.9,韩国
South Korea,2016,2526.8,韩国
South Korea,2017,2802.6,韩国
Viet Nam,2013,654.8,越南
Viet Nam,2014,836.4,越南
Viet Nam,2015,958.5,越南
Viet Nam,2016,982.7,越南
Viet Nam,2017,1219.9,越南
Malaysia,2013,1060.8,马来西亚
Malaysia,2014,1020.1,马来西亚
Malaysia,2015,972.6,马来西亚
Malaysia,2016,869.3,马来西亚
Malaysia,2017,961.4,马来西亚
Russian Federation,2013,892.6,俄罗斯
Russian Federation,2014,952.7,俄罗斯
Russian Federation,2015,680.2,俄罗斯
Russian Federation,2016,696.0,俄罗斯
Russian Federation,2017,842.2,俄罗斯
Thailand,2013,712.4,泰国
Thailand,2014,726.2,泰国
Thailand,2015,754.6,泰国
Thailand,2016,757.2,泰国
Thailand,2017,801.4,泰国
Singapore,2013,759.0,新加坡
Singapore,2014,797.4,新加坡
Singapore,2015,795.2,新加坡
Singapore,2016,705.1,新加坡
Singapore,2017,792.7,新加坡
Indonesia,2013,683.5,印度尼西亚
Indonesia,2014,635.4,印度尼西亚
Indonesia,2015,542.3,印度尼西亚
Indonesia,2016,535.3,印度尼西亚
Indonesia,2017,633.3,印度尼西亚
Philippines,2013,380.5,菲律宾
Philippines,2014,444.6,菲律宾
Philippines,2015,456.4,菲律宾
Philippines,2016,472.3,菲律宾
Philippines,2017,513.1,菲律宾
